Message{text='dg', imageIcon=null, sender=entity.User@3db5f7bf, recievers=[entity.User@8587ad4f], timeStampClient=Thu Jun 22 11:22:31 CEST 2023, timeStampServer=Thu Jun 22 11:22:31 CEST 2023}
Message{text='s', imageIcon=null, sender=entity.User@3db5f7bf, recievers=[entity.User@8587ad4f], timeStampClient=Thu Jun 22 11:22:31 CEST 2023, timeStampServer=Thu Jun 22 11:22:31 CEST 2023}
Message{text='a', imageIcon=null, sender=entity.User@3db5f7bf, recievers=[entity.User@8587ad4f], timeStampClient=Thu Jun 22 11:22:31 CEST 2023, timeStampServer=Thu Jun 22 11:22:31 CEST 2023}
Message{text='sda', imageIcon=null, sender=entity.User@3db5f7bf, recievers=[entity.User@8587ad4f], timeStampClient=Thu Jun 22 11:22:31 CEST 2023, timeStampServer=Thu Jun 22 11:22:31 CEST 2023}
Message{text='sd', imageIcon=null, sender=entity.User@3db5f7bf, recievers=[entity.User@8587ad4f], timeStampClient=Thu Jun 22 11:22:32 CEST 2023, timeStampServer=Thu Jun 22 11:22:32 CEST 2023}
Message{text='asdg', imageIcon=null, sender=entity.User@3db5f7bf, recievers=[entity.User@8587ad4f], timeStampClient=Thu Jun 22 11:22:32 CEST 2023, timeStampServer=Thu Jun 22 11:22:32 CEST 2023}
Message{text='dsg', imageIcon=null, sender=entity.User@3db5f7bf, recievers=[entity.User@8587ad4f], timeStampClient=Thu Jun 22 11:22:32 CEST 2023, timeStampServer=Thu Jun 22 11:22:32 CEST 2023}
Message{text='hgd', imageIcon=null, sender=entity.User@3db5f7bf, recievers=[entity.User@8587ad4f], timeStampClient=Thu Jun 22 11:22:32 CEST 2023, timeStampServer=Thu Jun 22 11:22:32 CEST 2023}
Message{text='hk', imageIcon=null, sender=entity.User@3db5f7bf, recievers=[entity.User@8587ad4f], timeStampClient=Thu Jun 22 11:22:32 CEST 2023, timeStampServer=Thu Jun 22 11:22:32 CEST 2023}
Message{text='hjk', imageIcon=null, sender=entity.User@3db5f7bf, recievers=[entity.User@8587ad4f], timeStampClient=Thu Jun 22 11:22:33 CEST 2023, timeStampServer=Thu Jun 22 11:22:33 CEST 2023}
Message{text='k', imageIcon=null, sender=entity.User@3db5f7bf, recievers=[entity.User@8587ad4f], timeStampClient=Thu Jun 22 11:22:33 CEST 2023, timeStampServer=Thu Jun 22 11:22:33 CEST 2023}
Message{text='', imageIcon=null, sender=entity.User@3db5f7bf, recievers=[entity.User@8587ad4f], timeStampClient=Thu Jun 22 11:22:33 CEST 2023, timeStampServer=Thu Jun 22 11:22:33 CEST 2023}
Message{text='sdf', imageIcon=null, sender=entity.User@3db5f7bf, recievers=[entity.User@8587ad4f], timeStampClient=Thu Jun 22 11:22:33 CEST 2023, timeStampServer=Thu Jun 22 11:22:33 CEST 2023}
Message{text='asd', imageIcon=null, sender=entity.User@3db5f7bf, recievers=[entity.User@8587ad4f], timeStampClient=Thu Jun 22 11:22:34 CEST 2023, timeStampServer=Thu Jun 22 11:22:34 CEST 2023}
Message{text='fa', imageIcon=null, sender=entity.User@3db5f7bf, recievers=[entity.User@8587ad4f], timeStampClient=Thu Jun 22 11:22:34 CEST 2023, timeStampServer=Thu Jun 22 11:22:34 CEST 2023}
Message{text='sfg', imageIcon=null, sender=entity.User@3db5f7bf, recievers=[entity.User@8587ad4f], timeStampClient=Thu Jun 22 11:22:34 CEST 2023, timeStampServer=Thu Jun 22 11:22:34 CEST 2023}
